pair_id,layout_type,ref_file,search_file,true_center_x,true_center_y,scale_ratio,cd_var,brightness,grad_angle,grad_mag,search_noise_std,channels
pair_001,dram,ref_001.png,search_001.png,247,283,0.1,1.02,3.0,37.0,23.0,20.0,1
pair_002,dram,ref_002.png,search_002.png,294,366,0.1,0.88,-14.0,74.0,11.0,24.0,1
pair_003,dram,ref_003.png,search_003.png,341,449,0.1,1.05,9.0,111.0,24.0,28.0,1
pair_004,dram,ref_004.png,search_004.png,388,532,0.1,0.9099999999999999,-8.0,148.0,12.0,32.0,1
pair_005,dram,ref_005.png,search_005.png,435,615,0.1,1.08,15.0,185.0,25.0,36.0,1
pair_006,dram,ref_006.png,search_006.png,482,698,0.1,0.94,-2.0,222.0,13.0,16.0,1
pair_007,dram,ref_007.png,search_007.png,529,781,0.1,1.1099999999999999,-19.0,259.0,26.0,20.0,1
pair_008,dram,ref_008.png,search_008.png,576,264,0.1,0.97,4.0,296.0,14.0,24.0,1
pair_009,dram,ref_009.png,search_009.png,623,347,0.1,1.14,-13.0,333.0,27.0,28.0,1
pair_010,dram,ref_010.png,search_010.png,670,430,0.1,1.0,10.0,10.0,15.0,32.0,1
pair_011,dram,ref_011.png,search_011.png,717,513,0.1,0.86,-7.0,47.0,28.0,36.0,1
pair_012,dram,ref_012.png,search_012.png,764,596,0.1,1.03,16.0,84.0,16.0,16.0,1
pair_013,dram,ref_013.png,search_013.png,211,679,0.1,0.89,-1.0,121.0,29.0,20.0,1
pair_014,dram,ref_014.png,search_014.png,258,762,0.1,1.06,-18.0,158.0,17.0,24.0,1
pair_015,dram,ref_015.png,search_015.png,305,245,0.1,0.9199999999999999,5.0,195.0,30.0,28.0,1
pair_016,finfet,ref_016.png,search_016.png,352,328,0.1,1.0899999999999999,-12.0,232.0,18.0,32.0,1
pair_017,finfet,ref_017.png,search_017.png,399,411,0.1,0.95,11.0,269.0,31.0,36.0,1
pair_018,finfet,ref_018.png,search_018.png,446,494,0.1,1.12,-6.0,306.0,19.0,16.0,1
pair_019,finfet,ref_019.png,search_019.png,493,577,0.1,0.98,17.0,343.0,32.0,20.0,1
pair_020,finfet,ref_020.png,search_020.png,540,660,0.1,1.15,0.0,20.0,20.0,24.0,1
pair_021,finfet,ref_021.png,search_021.png,587,743,0.1,1.01,-17.0,57.0,33.0,28.0,1
pair_022,finfet,ref_022.png,search_022.png,634,226,0.1,0.87,6.0,94.0,21.0,32.0,1
pair_023,finfet,ref_023.png,search_023.png,681,309,0.1,1.04,-11.0,131.0,34.0,36.0,1
pair_024,finfet,ref_024.png,search_024.png,728,392,0.1,0.9,12.0,168.0,22.0,16.0,1
pair_025,finfet,ref_025.png,search_025.png,775,475,0.1,1.07,-5.0,205.0,10.0,20.0,1
pair_026,finfet,ref_026.png,search_026.png,222,558,0.1,0.9299999999999999,18.0,242.0,23.0,24.0,1
pair_027,finfet,ref_027.png,search_027.png,269,641,0.1,1.1,1.0,279.0,11.0,28.0,1
pair_028,finfet,ref_028.png,search_028.png,316,724,0.1,0.96,-16.0,316.0,24.0,32.0,1
pair_029,finfet,ref_029.png,search_029.png,363,207,0.1,1.13,7.0,353.0,12.0,36.0,1
pair_030,finfet,ref_030.png,search_030.png,410,290,0.1,0.99,-10.0,30.0,25.0,16.0,1
